Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close,Grid Stop Loss,Grid Take Profit
2025-04-21 17:30,2025-04-22 17:30,SHORT,100,51.28,48.73,255.0,100692.41,210.0,210.0
2025-04-22 18:00,2025-04-24 18:30,SHORT,100,48.22,45.86,236.0,100919.0,210.0,210.0
2025-04-24 19:00,2025-04-25 17:30,SHORT,100,46.07,48.66,-259.0,100650.53,210.0,210.0
2025-04-25 18:00,2025-04-28 17:00,LONG,200,48.93,52.3,674.0,101304.28,210.0,210.0
2025-04-28 17:30,2025-04-29 18:00,LONG,100,53.16,56.53,337.0,101630.31,210.0,210.0
2025-04-29 18:30,2025-05-01 18:00,LONG,100,55.54,57.74,220.0,101838.98,210.0,210.0
2025-05-05 20:30,2025-05-06 19:00,LONG,100,63.56,61.22,-234.0,101733.7,210.0,210.0
2025-05-06 19:30,2025-05-07 17:00,SHORT,200,60.82,63.99,-634.0,101074.74,210.0,210.0
2025-05-07 17:30,2025-05-09 17:00,LONG,400,64.0,69.72,2288.0,103309.25,210.0,210.0
2025-05-09 17:30,2025-05-12 17:00,LONG,100,68.63,65.35,-328.0,102967.85,210.0,210.0
2025-05-12 17:30,2025-05-13 17:30,SHORT,200,65.93,63.42,502.0,103443.98,210.0,210.0
2025-05-13 18:00,2025-05-13 19:30,SHORT,100,63.92,66.29,-237.0,103193.96,210.0,210.0
2025-05-13 20:00,2025-05-14 17:00,LONG,200,65.51,60.3,-1042.0,102126.8,210.0,210.0
2025-05-14 17:30,2025-05-15 17:00,SHORT,400,61.4,59.15,900.0,102978.58,210.0,210.0
2025-05-15 17:30,2025-05-15 21:30,SHORT,100,60.0,57.03,297.0,103263.88,210.0,210.0
2025-05-15 22:00,2025-05-19 17:00,SHORT,100,57.23,51.36,587.0,103840.02,210.0,210.0
2025-05-19 17:30,2025-05-20 17:00,SHORT,100,50.74,53.8,-306.0,103523.56,210.0,210.0
2025-05-20 17:30,2025-05-20 19:00,LONG,200,54.14,56.57,486.0,103987.42,210.0,210.0
2025-05-20 19:30,2025-05-22 18:00,LONG,100,56.64,53.63,-301.0,103675.4,210.0,210.0
