Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close
2023-12-12 22:30,2023-12-13 18:30,SHORT,100,24.36,26.34,-198.0,100290.55
2023-12-13 19:00,2023-12-15 18:00,LONG,200,26.38,28.22,368.0,100647.63
2023-12-15 18:30,2023-12-18 17:00,LONG,100,28.21,29.83,162.0,100803.82
2023-12-18 17:30,2023-12-19 17:00,LONG,100,29.57,25.94,-363.0,100435.27
2023-12-19 17:30,2023-12-19 19:00,SHORT,200,25.6,27.18,-316.0,100108.72
2023-12-19 19:30,2023-12-21 16:30,LONG,400,26.95,26.54,-164.0,99923.32
2023-12-21 17:00,2023-12-21 18:30,SHORT,800,26.22,27.8,-1264.0,98616.1
2023-12-21 19:00,2023-12-27 17:00,LONG,1600,27.61,29.35,2784.0,101308.97
2023-12-27 17:30,2023-12-27 21:00,LONG,100,29.03,27.5,-153.0,101150.32
2023-12-27 21:30,2023-12-28 17:30,SHORT,200,27.56,29.16,-320.0,100818.97
2023-12-28 18:00,2024-01-03 17:00,LONG,400,29.43,32.35,1168.0,101962.26
2024-01-03 17:30,2024-01-04 17:00,LONG,100,31.72,33.42,170.0,102125.75
2024-01-04 17:30,2024-01-04 22:00,LONG,100,33.3,35.09,179.0,102297.91
2024-01-04 22:30,2024-01-05 17:00,LONG,100,34.99,33.13,-186.0,102105.09
2024-01-05 17:30,2024-01-05 19:30,SHORT,200,33.35,34.94,-318.0,101773.44
2024-01-05 20:00,2024-01-08 17:00,LONG,400,34.86,31.86,-1200.0,100546.75
2024-01-08 17:30,2024-01-08 20:00,SHORT,800,32.15,33.65,-1200.0,99294.11
2024-01-08 20:30,2024-01-09 17:00,LONG,1600,34.19,36.29,3360.0,102541.34
2024-01-09 17:30,2024-01-09 19:30,LONG,100,36.27,37.85,158.0,102691.93
2024-01-09 20:00,2024-01-09 21:00,LONG,100,38.56,40.33,177.0,102861.04
2024-01-09 21:30,2024-01-10 17:00,LONG,100,38.05,36.08,-197.0,102656.63
2024-01-10 17:30,2024-01-10 18:30,SHORT,200,36.01,34.26,350.0,102992.57
2024-01-10 19:00,2024-01-11 18:00,SHORT,100,33.97,35.64,-167.0,102818.61
2024-01-11 18:30,2024-01-11 21:30,LONG,200,35.84,33.75,-418.0,102386.69
2024-01-11 22:00,2024-01-12 17:00,SHORT,400,33.7,35.79,-836.0,101522.9
2024-01-12 17:30,2024-01-16 17:00,LONG,800,35.02,31.83,-2552.0,98917.42
2024-01-16 17:30,2024-01-18 17:00,SHORT,1600,32.16,30.57,2544.0,101361.05
2024-01-18 17:30,2024-01-19 17:00,SHORT,100,30.61,28.15,246.0,101601.17
2024-01-19 17:30,2024-01-22 17:00,SHORT,100,27.47,23.62,385.0,101981.06
2024-01-22 17:30,2024-01-24 17:00,SHORT,100,23.69,25.46,-177.0,101799.15
2024-01-24 17:30,2024-01-25 20:30,LONG,200,25.77,24.07,-340.0,101449.18
2024-01-25 21:00,2024-01-26 17:30,SHORT,400,24.95,22.85,840.0,102270.06
2024-01-26 18:00,2024-02-01 20:00,SHORT,100,23.02,21.36,166.0,102431.62
2024-02-01 20:30,2024-02-07 17:30,SHORT,100,21.78,20.04,174.0,102601.44
2024-02-07 18:00,2024-02-08 22:30,SHORT,100,19.81,18.13,168.0,102765.65
2024-02-09 16:30,2024-02-12 21:00,SHORT,100,18.24,16.58,166.0,102928.17
2024-02-12 21:30,2024-02-14 17:00,SHORT,100,16.33,14.39,194.0,103119.09
2024-02-14 17:30,2024-02-21 17:00,SHORT,100,14.4,16.41,-201.0,102915.01
2024-02-21 17:30,2024-02-23 21:30,LONG,200,16.32,14.69,-326.0,102582.81
2024-02-23 22:00,2024-02-27 17:00,SHORT,400,14.68,16.66,-792.0,101778.27
2024-02-27 17:30,2024-03-04 17:00,LONG,800,16.75,18.68,1544.0,103293.93
2024-03-04 17:30,2024-03-07 20:00,LONG,100,18.73,16.86,-187.0,103103.37
2024-03-07 20:30,2024-03-11 17:00,SHORT,200,16.92,14.94,396.0,103493.0
2024-03-11 17:30,2024-03-27 17:00,SHORT,100,14.96,12.37,259.0,103749.27
2024-03-27 17:30,2024-04-01 17:00,SHORT,100,12.46,14.01,-155.0,103591.62
2024-04-01 17:30,2024-05-06 17:00,LONG,200,13.76,15.3,308.0,103893.81
2024-05-06 17:30,2024-05-14 18:30,LONG,100,15.39,16.89,150.0,104040.58
2024-05-14 19:00,2024-05-16 18:00,LONG,100,16.55,18.7,215.0,104252.05
2024-05-16 18:30,2024-05-20 17:00,LONG,100,18.21,20.17,196.0,104444.22
2024-05-20 17:30,2024-05-22 20:30,LONG,100,20.57,22.43,186.0,104625.92
2024-05-22 21:00,2024-05-23 21:30,LONG,100,22.8,21.05,-175.0,104446.53
2024-05-23 22:00,2024-05-24 19:00,SHORT,200,21.41,19.85,312.0,104750.28
2024-05-24 19:30,2024-05-29 17:00,SHORT,100,19.63,18.03,160.0,104906.51
2024-05-29 17:30,2024-05-30 17:00,SHORT,100,18.07,16.57,150.0,105053.05
2024-05-30 17:30,2024-06-03 17:00,SHORT,100,16.5,18.29,-179.0,104870.57
2024-06-03 17:30,2024-06-04 21:30,LONG,200,17.81,16.24,-314.0,104549.76
2024-06-04 22:00,2024-06-05 18:30,SHORT,400,16.32,18.16,-736.0,103799.97
2024-06-05 19:00,2024-06-07 17:00,LONG,800,18.29,19.88,1272.0,105041.43
2024-06-07 17:30,2024-06-10 17:00,LONG,100,20.4,22.78,238.0,105275.11
2024-06-10 17:30,2024-06-10 20:30,LONG,100,22.53,20.29,-224.0,105046.83
2024-06-10 21:00,2024-06-11 17:00,SHORT,200,20.2,21.87,-334.0,104704.42
2024-06-11 17:30,2024-06-11 22:00,LONG,400,22.09,23.6,604.0,105290.14
2024-06-11 22:30,2024-06-12 19:30,LONG,100,23.41,21.8,-161.0,105124.62
2024-06-12 20:00,2024-06-14 19:00,SHORT,200,22.19,20.2,398.0,105514.14
2024-06-14 19:30,2024-06-17 17:00,SHORT,100,20.49,18.95,154.0,105664.2
2024-06-17 17:30,2024-06-18 22:30,SHORT,100,18.91,20.44,-153.0,105507.26
2024-06-20 16:30,2024-06-26 17:30,LONG,200,19.38,17.79,-318.0,105181.83
2024-06-26 18:00,2024-06-28 17:00,SHORT,400,17.96,16.24,688.0,105856.15
2024-06-28 17:30,2024-07-01 18:00,SHORT,100,16.05,14.54,151.0,106004.09
2024-07-01 18:30,2024-07-05 20:00,SHORT,100,14.47,12.92,155.0,106156.35
2024-07-05 20:30,2024-07-15 21:00,SHORT,100,12.94,11.37,157.0,106310.92
2024-07-15 21:30,2024-07-29 17:30,SHORT,100,10.88,9.2,168.0,106476.91
2024-07-29 18:00,2024-08-08 19:30,SHORT,100,9.07,10.59,-152.0,106322.95
2024-08-08 20:00,2024-08-26 18:30,LONG,200,10.43,8.91,-304.0,106015.08
2024-08-26 19:00,2024-09-23 17:00,SHORT,400,8.97,11.0,-812.0,105195.09
